log_market_value,age,height_in_cm,total_goals,total_assists,total_matches,total_yellow_cards,total_red_cards,goals_per_match,assists_per_match,minutes_per_match,position_encoded,sub_position_encoded,foot_encoded,country_of_citizenship_encoded,player_club_domestic_competition_id_encoded
12.206077645517674,1.1084683587838295,-0.9382280118301204,0.016082816302612036,0.05784840715234437,2.496924751848026,2.588380357047955,-0.4019240064638961,-0.40421484425541915,-0.4108384607640176,0.6220383135909471,3,4,1,61,11
14.508658238524095,0.9051806939571073,-0.9382280118301204,3.6576267489413166,6.629865634539594,3.3643134253203404,0.6051580260185843,-0.4019240064638961,1.248555234088742,2.3533802485067543,0.1026181564930047,3,0,2,59,15
12.206077645517674,1.515043688437274,1.0090965834133323,-0.3885331762127996,-0.4542568313453634,0.07268461316899369,-0.3864531394961011,1.1991739789374747,-0.6436348088753676,-0.6891305743901952,1.317414640741384,2,5,1,144,8
12.611541086966115,1.515043688437274,-0.3390512132936734,1.6345467863642584,0.4846027725671008,1.3292861529429876,0.9356950811901461,1.1991739789374747,1.2185204715020093,0.10451730521038621,-0.17184345919500726,0,3,2,125,21
12.206077645517674,1.718331353263996,1.0090965834133323,-0.3885331762127996,-0.4542568313453634,-0.31652825313268584,-0.05591608432453931,1.1991739789374747,-0.6436348088753676,-0.6891305743901952,1.3742870482691554,1,2,1,115,24
12.611541086966115,1.3117560236105517,-0.3390512132936734,-0.3885331762127996,0.6553045187330034,2.1855544588066826,1.5967691915332698,-0.4019240064638961,-0.6436348088753676,-0.022694197022243057,0.8818957936521028,1,8,1,55,29
13.304686600863562,1.718331353263996,-1.2378164110983438,1.8657559249444937,4.325392061299909,2.930619088584183,5.6954286756606365,4.401369949740216,0.5340525846605955,1.6040632988537444,0.6019040427218042,3,1,2,5,1
14.151983508870947,1.515043688437274,-0.3390512132936734,0.9409193706235529,2.0209184880602242,5.0657296694391105,2.8528100011852047,-0.4019240064638961,-0.2031020739746624,0.06411341315799246,1.150915825565283,1,2,1,109,8
14.220976332738882,0.49860536430366287,0.26012558524277357,-0.3885331762127996,-0.4542568313453634,1.2403232120740322,-0.2542383174274764,-0.4019240064638961,-0.6436348088753676,-0.6891305743901952,1.4097194809919393,2,5,2,77,12
11.918397239722838,1.515043688437274,-0.7884338121960086,-0.21512632227762318,-0.027502465930606918,-0.294287517915447,-0.5186679615647258,-0.4019240064638961,0.057921366522621046,0.8964872823170966,-1.0155280987210094,0,3,2,134,26
11.918397239722838,1.718331353263996,2.0576559808521147,0.18948967023778845,-0.28355508517946076,-0.33876898834992464,-0.5186679615647258,1.1991739789374747,1.9347340408779246,0.010167557285840444,0.10142810291606932,0,3,1,75,26
12.765691290604371,1.515043688437274,0.8593023837792206,-0.3885331762127996,-0.4542568313453634,-0.3610097235671635,-0.18813090639316404,1.1991739789374747,-0.6436348088753676,-0.6891305743901952,1.405479997310127,2,5,2,20,21
11.51293546492023,1.718331353263996,1.158890783047444,-0.3885331762127996,-0.4542568313453634,-0.1386023713947752,0.4729432039499596,1.1991739789374747,-0.6436348088753676,-0.6891305743901952,0.8789576106910593,1,2,2,55,11
15.894952224644102,1.1084683587838295,0.40991978487688535,2.6171856253302583,3.0451289650556395,4.598674229877096,8.207510294964507,2.8002719643388456,0.43895981375396464,0.4684032895331821,0.8104201381104397,3,4,2,20,10
